               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.031379,            0.023557,             0.00584,             0.80985,             0.41969,             0.52246,             0.22696,            0.036862,             0.01989,            0.012041,             1.4e-05,             1.4e-05,            0.049314,                   0
                   1,             0.03136,            0.022258,           0.0061229,             0.57142,             0.48674,             0.52641,             0.23666,            0.036086,            0.017147,             0.01217,          2.8994e-05,          2.8994e-05,            0.048579,                   0
                   2,            0.030991,            0.022669,           0.0053373,             0.62021,             0.42519,              0.4758,              0.2161,            0.033855,            0.021356,            0.013617,          4.3962e-05,          4.3962e-05,            0.047844,                   0
                   3,            0.031072,            0.022621,           0.0055486,             0.69148,             0.50754,             0.57122,             0.24457,            0.036821,            0.016293,            0.010614,          5.8885e-05,          5.8885e-05,            0.047109,                   0
                   4,            0.030044,            0.021978,           0.0054967,             0.74275,              0.6181,             0.69608,             0.32694,            0.031781,            0.013125,           0.0068414,          7.3743e-05,          7.3743e-05,            0.046374,                   0
                   5,            0.030661,            0.021508,           0.0059029,             0.79344,             0.59579,             0.70473,             0.30573,            0.031958,            0.013385,           0.0062476,          8.8518e-05,          8.8518e-05,            0.045639,                   0
                   6,            0.030685,            0.022901,           0.0054742,             0.68289,             0.65761,             0.69095,             0.31344,            0.029725,            0.012505,           0.0075977,          0.00010319,          0.00010319,            0.044903,                   0
                   7,            0.030144,            0.021608,           0.0055348,             0.68089,             0.67603,             0.69447,             0.33823,               0.029,            0.012457,           0.0073122,          0.00011774,          0.00011774,            0.044168,                   0
                   8,            0.030297,            0.021806,           0.0055433,             0.79253,             0.65018,             0.71708,             0.33216,            0.030663,            0.012064,           0.0049647,          0.00013215,          0.00013215,            0.043432,                   0
                   9,            0.031022,            0.022159,           0.0052987,             0.74158,             0.58225,             0.63988,             0.28982,            0.031831,            0.012427,           0.0063082,           0.0001464,           0.0001464,            0.042696,                   0
                  10,            0.030728,            0.021644,            0.005279,             0.79059,             0.59234,             0.68395,             0.31623,            0.029591,            0.012773,           0.0063161,          0.00016047,          0.00016047,             0.04196,                   0
                  11,            0.029652,            0.021011,           0.0048676,             0.75468,             0.60981,             0.65986,             0.28397,            0.030692,            0.013393,           0.0056668,          0.00017434,          0.00017434,            0.041224,                   0
                  12,            0.029517,            0.020469,           0.0050155,             0.78633,             0.57389,             0.69122,             0.31409,            0.029429,            0.012533,           0.0046844,          0.00018801,          0.00018801,            0.040488,                   0
                  13,            0.029505,             0.02202,           0.0051881,             0.73856,             0.63153,             0.68498,             0.31443,            0.029088,            0.012354,           0.0053981,          0.00020144,          0.00020144,            0.039751,                   0
                  14,            0.030007,            0.021623,            0.005054,             0.74549,             0.66587,             0.72041,             0.33265,            0.029236,            0.012143,           0.0052003,          0.00021462,          0.00021462,            0.039015,                   0
                  15,            0.029014,            0.019989,           0.0046815,              0.7958,             0.57504,             0.67583,             0.32093,            0.030055,            0.012134,           0.0063746,          0.00022754,          0.00022754,            0.038278,                   0
                  16,            0.029241,             0.02153,           0.0049355,              0.7286,             0.60649,             0.68117,             0.31953,            0.028998,            0.012277,            0.006673,          0.00024018,          0.00024018,             0.03754,                   0
                  17,            0.028924,            0.020287,           0.0047303,             0.73309,             0.61003,             0.66285,             0.30438,            0.028652,            0.011872,           0.0060723,          0.00025252,          0.00025252,            0.036803,                   0
                  18,            0.029073,            0.020168,           0.0048753,             0.73138,             0.61854,             0.67932,             0.31794,            0.030485,            0.012515,           0.0048147,          0.00026455,          0.00026455,            0.036065,                   0
                  19,            0.030197,            0.021486,           0.0054675,             0.81005,             0.62091,             0.70795,             0.34833,            0.027965,            0.012597,           0.0063032,          0.00027625,          0.00027625,            0.035326,                   0
                  20,              0.0297,            0.021564,           0.0047945,             0.80143,             0.68777,             0.74116,             0.36327,            0.027616,            0.012257,           0.0051497,          0.00028761,          0.00028761,            0.034588,                   0
                  21,              0.0283,            0.019956,           0.0044253,             0.79045,             0.69467,             0.74936,             0.35997,            0.027631,            0.012144,           0.0045409,          0.00029862,          0.00029862,            0.033849,                   0
                  22,            0.029532,            0.020761,           0.0049053,             0.82647,             0.68727,             0.75324,             0.36805,            0.027941,            0.011987,           0.0044777,          0.00030926,          0.00030926,            0.033109,                   0
                  23,            0.029033,            0.019967,           0.0046364,             0.77199,             0.67252,             0.72418,              0.3605,            0.028343,            0.012616,           0.0040512,          0.00031953,          0.00031953,             0.03237,                   0
                  24,            0.030355,            0.021523,           0.0051937,             0.74882,             0.66152,             0.72695,             0.35042,            0.027393,            0.012263,           0.0048496,           0.0003294,           0.0003294,            0.031629,                   0
                  25,            0.028534,            0.020001,           0.0042485,             0.75419,             0.72904,             0.73922,             0.29808,            0.030512,            0.012277,           0.0047094,          0.00033887,          0.00033887,            0.030889,                   0
                  26,            0.029801,             0.02209,           0.0046787,             0.88202,              0.6658,             0.75782,             0.34823,            0.027722,            0.011598,           0.0042827,          0.00034793,          0.00034793,            0.030148,                   0
                  27,            0.028774,            0.021769,           0.0045778,              0.8038,             0.72756,             0.75015,             0.37682,            0.027728,             0.01223,           0.0041981,          0.00035656,          0.00035656,            0.029407,                   0
