               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.062037,             0.10795,            0.018747,             0.54056,             0.33174,             0.38484,             0.13143,             0.06364,            0.077714,            0.021589,            0.007543,            0.007543,            0.007543
                  37,            0.061578,             0.10573,            0.017198,             0.50554,             0.45173,             0.42474,             0.14647,            0.061456,            0.077797,            0.020197,            0.007416,            0.007416,            0.007416
                  38,             0.06151,             0.10752,            0.016513,              0.5173,             0.36339,             0.38273,             0.14712,            0.061332,              0.0762,            0.021238,           0.0072872,           0.0072872,           0.0072872
                  39,            0.061287,             0.10711,             0.01686,             0.50365,             0.36551,             0.39358,             0.14951,            0.059733,            0.077377,            0.019004,           0.0071566,           0.0071566,           0.0071566
                  40,              0.0603,             0.10841,            0.016089,             0.54746,             0.45176,             0.46762,             0.19252,             0.06081,            0.076596,            0.018486,           0.0070243,           0.0070243,           0.0070243
                  41,            0.060766,             0.10116,            0.016646,              0.6199,             0.44184,             0.47003,             0.18644,            0.058877,            0.074637,            0.018142,           0.0068906,           0.0068906,           0.0068906
                  42,            0.059293,             0.10245,            0.016002,               0.619,             0.38416,             0.40609,             0.15796,            0.061168,            0.077297,            0.025282,           0.0067555,           0.0067555,           0.0067555
                  43,            0.058192,             0.10843,            0.014872,             0.41665,             0.50608,             0.46765,             0.19177,            0.058097,            0.074221,            0.017015,           0.0066191,           0.0066191,           0.0066191
                  44,            0.057483,             0.10291,            0.014699,             0.64984,             0.46416,             0.48129,             0.19105,            0.057684,            0.074186,            0.016247,           0.0064816,           0.0064816,           0.0064816
                  45,            0.057898,             0.10124,            0.014356,              0.6163,             0.40949,             0.45163,             0.17239,            0.059382,            0.073904,            0.016127,           0.0063432,           0.0063432,           0.0063432
                  46,            0.057277,             0.10118,            0.013571,             0.60139,             0.46135,             0.47283,             0.18496,            0.057912,            0.076509,            0.016113,            0.006204,            0.006204,            0.006204
                  47,             0.05756,             0.10272,            0.014223,             0.71474,             0.42298,             0.48617,             0.19945,             0.05877,            0.073906,            0.017101,            0.006064,            0.006064,            0.006064
                  48,            0.057212,             0.10075,            0.014223,             0.64858,             0.49303,             0.49034,             0.21247,            0.057428,            0.073173,            0.016326,           0.0059235,           0.0059235,           0.0059235
                  49,            0.055976,             0.10322,            0.013803,             0.47866,             0.57502,             0.52371,             0.21927,            0.056847,            0.073074,            0.016855,           0.0057826,           0.0057826,           0.0057826
                  50,            0.056289,            0.099553,            0.013804,             0.61688,             0.52201,             0.51654,             0.21478,            0.056796,            0.075658,            0.016511,           0.0056413,           0.0056413,           0.0056413
                  51,            0.057049,             0.10712,            0.014049,             0.55902,             0.52064,             0.50449,              0.2117,            0.057184,            0.075022,            0.016256,              0.0055,              0.0055,              0.0055
                  52,            0.056591,             0.10623,            0.014149,             0.72641,             0.45896,             0.53259,             0.21561,            0.056721,            0.072488,            0.016835,           0.0053587,           0.0053587,           0.0053587
                  53,            0.056004,            0.099249,            0.014363,             0.60495,             0.50452,             0.52664,             0.21091,            0.056439,            0.073952,            0.017426,           0.0052174,           0.0052174,           0.0052174
                  54,            0.055614,             0.10498,            0.013113,             0.69266,             0.47239,             0.52572,              0.2197,            0.056529,            0.073852,             0.01523,           0.0050765,           0.0050765,           0.0050765
                  55,            0.055672,             0.10056,            0.012288,             0.74579,              0.4641,             0.51886,              0.2318,             0.05569,            0.073594,            0.015479,            0.004936,            0.004936,            0.004936
                  56,            0.054961,            0.094066,            0.012357,              0.7536,             0.46065,             0.54638,             0.24137,            0.055511,             0.07238,             0.01575,            0.004796,            0.004796,            0.004796
                  57,            0.054737,            0.099872,            0.012309,             0.66278,             0.51942,              0.5506,             0.22231,            0.057544,            0.072185,            0.014842,           0.0046568,           0.0046568,           0.0046568
                  58,            0.054523,            0.097018,            0.011986,             0.74474,             0.50183,             0.55905,             0.24589,            0.055048,            0.072381,            0.016317,           0.0045184,           0.0045184,           0.0045184
                  59,              0.0543,             0.10033,             0.01202,             0.67266,             0.51883,             0.53728,              0.2203,            0.054885,            0.073684,            0.016832,           0.0043809,           0.0043809,           0.0043809
                  60,            0.054064,             0.10194,            0.011972,             0.57598,             0.57702,             0.56861,             0.24543,             0.05487,            0.072696,             0.01508,           0.0042445,           0.0042445,           0.0042445
                  61,            0.053431,             0.10168,            0.011875,             0.75609,             0.51669,             0.57489,             0.24135,            0.054695,            0.071365,            0.015235,           0.0041094,           0.0041094,           0.0041094
                  62,            0.053212,            0.098644,            0.012051,             0.70167,              0.5461,             0.56191,             0.23802,            0.054642,             0.07068,            0.015617,           0.0039757,           0.0039757,           0.0039757
                  63,            0.053207,            0.099995,            0.011997,             0.59593,             0.52069,             0.54666,             0.23164,            0.055627,            0.072327,            0.015608,           0.0038434,           0.0038434,           0.0038434
                  64,            0.052438,            0.099403,            0.011639,             0.73285,             0.53401,             0.57148,             0.23964,            0.054556,             0.07131,            0.015498,           0.0037128,           0.0037128,           0.0037128
                  65,            0.053561,             0.10083,            0.011763,              0.7802,             0.49316,             0.56463,             0.24567,            0.055757,            0.072996,            0.016288,            0.003584,            0.003584,            0.003584
                  66,            0.052081,            0.097038,             0.01066,             0.74911,             0.51571,             0.57928,             0.22891,              0.0543,            0.071157,            0.016444,            0.003457,            0.003457,            0.003457
                  67,            0.052204,            0.095906,            0.011517,             0.71369,             0.55441,             0.58011,             0.22218,            0.055062,            0.070821,            0.015723,           0.0033321,           0.0033321,           0.0033321
                  68,            0.051092,            0.094885,            0.010438,             0.69124,             0.54623,             0.56486,             0.26259,            0.053342,            0.069433,            0.014951,           0.0032093,           0.0032093,           0.0032093
                  69,            0.050925,             0.09347,            0.010136,              0.7088,             0.55625,               0.579,             0.25034,            0.053893,            0.072177,              0.0142,           0.0030888,           0.0030888,           0.0030888
                  70,            0.052243,            0.092421,            0.010265,             0.79007,             0.49077,             0.57425,              0.2522,            0.053315,            0.071137,            0.015441,           0.0029706,           0.0029706,           0.0029706
                  71,            0.051166,            0.094009,            0.010171,             0.70367,             0.51018,              0.5828,             0.26312,            0.054068,             0.07137,            0.014903,            0.002855,            0.002855,            0.002855
                  72,            0.051099,            0.097814,            0.010305,             0.66439,             0.56811,             0.60492,             0.27407,            0.053538,            0.071246,            0.014478,           0.0027419,           0.0027419,           0.0027419
                  73,            0.050498,            0.093224,           0.0098302,             0.71366,             0.55897,             0.58077,             0.28316,             0.05308,            0.071005,             0.01387,           0.0026316,           0.0026316,           0.0026316
                  74,            0.049795,            0.092948,            0.010105,               0.776,             0.54939,             0.61662,             0.28169,            0.052913,            0.071952,            0.013908,           0.0025241,           0.0025241,           0.0025241
