               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.037057,             0.02469,           0.0078618,          1.5834e-05,           0.0017422,          2.8455e-06,          1.4227e-06,            0.067766,            0.035411,            0.051752,             1.4e-05,             1.4e-05,            0.049314,                   0
                   1,            0.036296,            0.023482,           0.0074052,            0.071441,           0.0017422,          6.2367e-06,           1.871e-06,            0.061216,             0.21204,             0.10324,          2.8994e-05,          2.8994e-05,            0.048579,                   0
                   2,            0.035621,             0.02099,           0.0075196,            0.071707,            0.018487,          3.3988e-05,          1.1485e-05,            0.054605,             0.24829,            0.075848,          4.3962e-05,          4.3962e-05,            0.047844,                   0
                   3,              0.0365,            0.025172,           0.0075607,          6.6528e-05,            0.032143,          3.6329e-05,          3.6329e-06,             0.06108,            0.016336,            0.037848,          5.8885e-05,          5.8885e-05,            0.047109,                   0
                   4,            0.035238,            0.024075,           0.0074299,             0.15633,            0.019388,           0.0019998,          0.00088046,            0.073195,             0.17987,            0.047022,          7.3743e-05,          7.3743e-05,            0.046374,                   0
                   5,            0.036056,            0.023894,           0.0079333,             0.36131,           0.0042857,          0.00088286,          0.00016926,            0.061838,             0.02285,            0.030184,          8.8518e-05,          8.8518e-05,            0.045639,                   0
                   6,            0.035462,            0.022994,           0.0074993,            0.071636,            0.048214,          0.00011069,          2.3173e-05,             0.05946,            0.022831,            0.082442,          0.00010319,          0.00010319,            0.044903,                   0
                   7,            0.035062,            0.022005,           0.0071951,          0.00028451,            0.057189,          0.00012354,          4.5661e-05,            0.055949,            0.037189,            0.039938,          0.00011774,          0.00011774,            0.044168,                   0
                   8,            0.036164,            0.023581,           0.0076369,            0.092749,           0.0077775,           0.0045109,           0.0015847,            0.052831,              0.4889,            0.083003,          0.00013215,          0.00013215,            0.043432,                   0
                   9,            0.034941,            0.022154,           0.0067987,             0.14388,            0.010357,          0.00043079,          9.6832e-05,            0.058887,             0.02972,            0.030171,           0.0001464,           0.0001464,            0.042696,                   0
                  10,             0.03503,            0.023562,           0.0072137,             0.01192,            0.029337,           0.0062431,           0.0031094,            0.058621,             0.10055,             0.12954,          0.00016047,          0.00016047,             0.04196,                   0
                  11,            0.034733,            0.023227,           0.0070137,            0.071518,            0.014286,           4.534e-05,          1.2415e-05,            0.064771,             0.34935,            0.098011,          0.00017434,          0.00017434,            0.041224,                   0
                  12,            0.034553,            0.024512,           0.0067313,            0.072348,            0.002551,          9.9195e-05,          2.0102e-05,            0.059098,             0.12707,             0.13345,          0.00018801,          0.00018801,            0.040488,                   0
                  13,            0.034601,            0.022293,           0.0069169,            0.076292,            0.076956,            0.019469,           0.0060367,            0.060714,            0.024778,            0.074739,          0.00020144,          0.00020144,            0.039751,                   0
                  14,            0.035095,            0.023702,           0.0074267,            0.022143,            0.034643,           0.0049009,            0.002109,            0.057394,            0.078318,            0.053625,          0.00021462,          0.00021462,            0.039015,                   0
                  15,            0.034795,            0.021782,           0.0070237,            0.071546,           0.0042017,          4.5885e-05,          1.2415e-05,            0.051106,            0.043101,            0.048259,          0.00022754,          0.00022754,            0.038278,                   0
                  16,            0.034708,            0.022223,           0.0065555,             0.21314,            0.022962,            0.012484,           0.0026561,            0.058834,            0.066081,            0.074091,          0.00024018,          0.00024018,             0.03754,                   0
                  17,             0.03525,            0.022652,           0.0069012,            0.077152,            0.036282,              0.0204,           0.0096609,            0.054732,            0.022767,            0.043303,          0.00025252,          0.00025252,            0.036803,                   0
                  18,            0.034697,            0.023249,           0.0069178,            0.094226,            0.093864,            0.066019,            0.027719,            0.050364,            0.052646,            0.035018,          0.00026455,          0.00026455,            0.036065,                   0
                  19,             0.03445,            0.022892,           0.0067418,             0.14639,            0.021173,           0.0018455,          0.00033977,            0.061243,            0.034933,             0.03759,          0.00027625,          0.00027625,            0.035326,                   0
                  20,            0.034469,            0.022473,           0.0065336,            0.053101,            0.061511,            0.031983,            0.012405,             0.05629,             0.24092,             0.11559,          0.00028761,          0.00028761,            0.034588,                   0
                  21,            0.034846,            0.023425,           0.0070575,            0.011939,            0.014847,           0.0038457,          0.00076507,            0.064069,             0.59173,            0.073329,          0.00029862,          0.00029862,            0.033849,                   0
                  22,            0.034756,            0.023946,           0.0071048,             0.13435,            0.025526,           0.0078474,            0.002156,            0.066887,             0.78557,             0.13264,          0.00030926,          0.00030926,            0.033109,                   0
                  23,             0.03517,            0.024271,           0.0069548,            0.033937,            0.036105,            0.018557,           0.0053009,            0.066944,             0.22884,             0.10632,          0.00031953,          0.00031953,             0.03237,                   0
                  24,            0.034255,             0.02281,           0.0066781,            0.022438,            0.040638,           0.0055689,           0.0011943,             0.07184,             0.52801,             0.11728,           0.0003294,           0.0003294,            0.031629,                   0
                  25,            0.034575,            0.022712,           0.0066808,            0.077472,            0.039902,           0.0017095,          0.00039446,            0.062774,             0.64809,             0.14971,          0.00033887,          0.00033887,            0.030889,                   0
                  26,            0.034541,            0.023525,           0.0067909,          0.00039032,           0.0042017,          5.7693e-05,          9.4758e-06,            0.068079,              1.2589,             0.26141,          0.00034793,          0.00034793,            0.030148,                   0
                  27,             0.03389,            0.021626,           0.0068728,            0.011076,            0.044307,          0.00039472,          0.00010225,            0.067762,             0.65415,             0.11727,          0.00035656,          0.00035656,            0.029407,                   0
                  28,            0.035135,            0.024145,           0.0072795,             0.14301,            0.056247,            0.082587,            0.023791,            0.069873,             0.94144,              0.1889,          0.00036476,          0.00036476,            0.028665,                   0
                  29,            0.034046,            0.023876,           0.0066343,            0.071636,            0.039766,            0.036501,            0.014567,            0.067677,             0.44652,             0.11864,          0.00037253,          0.00037253,            0.027923,                   0
                  30,            0.034135,            0.022708,           0.0063937,             0.14714,            0.017571,          0.00084024,          0.00018709,            0.066317,             0.62089,            0.068039,          0.00037984,          0.00037984,             0.02718,                   0
                  31,             0.03447,            0.022889,           0.0068418,           0.0014569,            0.024664,          0.00079639,          0.00017764,            0.071363,              1.1399,             0.15264,           0.0003867,           0.0003867,            0.026437,                   0
                  32,            0.034024,            0.023029,           0.0063642,            0.072322,           0.0017857,          0.00014659,          2.3469e-05,            0.067391,             0.37781,            0.052874,          0.00039311,          0.00039311,            0.025693,                   0
                  33,            0.033755,            0.022094,           0.0066997,            0.099531,            0.071939,            0.059064,             0.03055,            0.059231,             0.10275,            0.040868,          0.00039904,          0.00039904,            0.024949,                   0
                  34,            0.033915,            0.022124,           0.0066765,            0.047837,            0.026101,            0.020753,           0.0087022,            0.053466,             0.11445,            0.037259,          0.00040451,          0.00040451,            0.024205,                   0
                  35,            0.033279,            0.022353,           0.0063726,             0.15588,            0.025343,           0.0071414,           0.0021817,            0.052291,             0.06354,            0.056074,          0.00040951,          0.00040951,             0.02346,                   0
                  36,            0.033586,            0.022587,            0.006855,             0.43529,           0.0084034,           0.0024066,          0.00057757,            0.054472,             0.24549,            0.087775,          0.00041403,          0.00041403,            0.022714,                   0
                  37,            0.033946,            0.023454,           0.0067486,           0.0040291,            0.026952,          0.00026082,          7.1123e-05,             0.06339,              1.5969,             0.26435,          0.00041807,          0.00041807,            0.021968,                   0
                  38,            0.033179,            0.022217,           0.0061813,              0.2337,            0.045519,            0.027008,            0.007596,            0.058336,             0.23642,             0.04188,          0.00042163,          0.00042163,            0.021222,                   0
                  39,            0.033419,            0.022744,           0.0065226,              0.1972,            0.013505,            0.012972,           0.0021661,            0.044722,             0.18845,             0.05869,          0.00042472,          0.00042472,            0.020475,                   0
                  40,            0.034133,            0.024317,           0.0064921,             0.34912,             0.26096,             0.21608,            0.081245,            0.044434,             0.14732,            0.054422,          0.00042732,          0.00042732,            0.019727,                   0
                  41,            0.033477,            0.021907,            0.006785,             0.31253,             0.21525,             0.19342,            0.055019,            0.050166,             0.20627,            0.054347,          0.00042945,          0.00042945,            0.018979,                   0
                  42,            0.033167,            0.021227,           0.0061957,              0.2867,             0.29984,             0.27243,            0.092964,              0.0418,             0.16688,             0.02921,          0.00043111,          0.00043111,            0.018231,                   0
                  43,            0.033671,            0.022486,           0.0065292,             0.19572,             0.19873,             0.16834,            0.043153,            0.066142,             0.19859,            0.037003,          0.00043229,          0.00043229,            0.017482,                   0
                  44,            0.032886,            0.021391,           0.0058349,             0.46478,             0.25518,             0.22114,            0.083939,            0.043428,            0.087151,            0.027705,          0.00043301,          0.00043301,            0.016733,                   0
                  45,            0.033553,            0.023552,           0.0061373,             0.12213,            0.076741,            0.075481,            0.023634,            0.052768,             0.18967,            0.046491,          0.00043326,          0.00043326,            0.015983,                   0
                  46,             0.03309,            0.023112,            0.006114,             0.28546,             0.33076,             0.26587,            0.089344,            0.044452,             0.15368,            0.025341,          0.00043306,          0.00043306,            0.015233,                   0
                  47,            0.032891,            0.023285,           0.0060425,             0.48625,            0.040206,              0.1128,            0.040155,            0.043822,             0.13372,            0.030307,          0.00043241,          0.00043241,            0.014482,                   0
                  48,            0.033613,            0.022739,           0.0062577,             0.27646,             0.20125,             0.22568,            0.083503,            0.042806,             0.21645,             0.02731,          0.00043132,          0.00043132,            0.013731,                   0
                  49,            0.032506,            0.022463,           0.0059063,             0.26524,             0.23304,             0.22417,            0.056293,            0.051941,             0.16054,            0.027156,          0.00042979,          0.00042979,             0.01298,                   0
                  50,            0.032833,            0.023467,           0.0061644,             0.38963,            0.044416,              0.0472,           0.0093755,            0.049113,             0.21279,            0.040369,          0.00042784,          0.00042784,            0.012228,                   0
                  51,            0.032635,            0.022721,           0.0060957,             0.37334,             0.25328,             0.21406,            0.065946,            0.048937,            0.072035,            0.019224,          0.00042547,          0.00042547,            0.011475,                   0
                  52,             0.03241,             0.02256,           0.0059302,             0.28859,             0.34876,              0.2847,              0.1005,            0.049809,            0.043964,            0.037266,           0.0004227,           0.0004227,            0.010723,                   0
                  53,            0.031849,             0.02155,           0.0057878,             0.34215,             0.25758,             0.27829,             0.12401,            0.043568,            0.057426,            0.019386,          0.00041954,          0.00041954,           0.0099695,                   0
                  54,            0.032649,            0.022781,           0.0059469,             0.22653,             0.40112,             0.26425,            0.096065,            0.045599,             0.10014,            0.025167,            0.000416,            0.000416,            0.009216,                   0
                  55,            0.032913,            0.022915,           0.0060307,             0.27476,             0.45458,             0.30228,            0.098427,            0.049346,             0.11255,            0.044505,          0.00041209,          0.00041209,           0.0084621,                   0
                  56,            0.032171,            0.021781,           0.0060833,             0.27972,             0.37785,              0.3313,             0.11391,            0.040223,            0.073851,             0.03488,          0.00040783,          0.00040783,           0.0077078,                   0
                  57,            0.032676,             0.02282,           0.0060636,             0.41007,             0.30728,             0.31429,             0.10958,            0.044529,            0.086512,            0.026813,          0.00040323,          0.00040323,           0.0069532,                   0
                  58,            0.032708,            0.022977,           0.0060078,             0.32639,             0.31729,             0.27473,            0.096517,            0.047711,             0.16156,            0.070993,          0.00039831,          0.00039831,           0.0061983,                   0
                  59,            0.033089,            0.021906,           0.0059118,             0.35459,             0.44103,             0.38232,             0.13166,            0.040711,             0.11046,            0.047957,          0.00039308,          0.00039308,           0.0054431,                   0
                  60,            0.032327,            0.021857,           0.0059511,             0.52832,             0.32676,             0.37191,             0.10757,            0.042503,             0.10226,            0.016408,          0.00038757,          0.00038757,           0.0046876,                   0
                  61,            0.033064,            0.023212,           0.0062162,             0.60165,             0.21211,             0.32031,              0.1095,            0.048998,             0.16697,            0.011654,          0.00038178,          0.00038178,           0.0039318,                   0
                  62,            0.031995,             0.02082,           0.0055957,             0.58768,             0.45432,             0.49594,             0.21076,            0.039324,            0.075389,            0.020541,          0.00037574,          0.00037574,           0.0031757,                   0
                  63,            0.031535,            0.023137,           0.0055115,             0.46345,             0.41511,             0.43157,             0.14974,            0.039999,             0.13785,            0.013536,          0.00036946,          0.00036946,           0.0024195,                   0
                  64,            0.032602,            0.021883,           0.0062424,             0.45811,             0.43032,             0.43165,             0.13533,            0.039639,              0.1299,            0.011587,          0.00036297,          0.00036297,            0.001663,                   0
                  65,            0.032095,            0.022089,           0.0058173,             0.44275,             0.48418,             0.43597,             0.13737,            0.041605,             0.10903,           0.0080137,          0.00035628,          0.00035628,          0.00090628,                   0
                  66,            0.031986,            0.022907,           0.0061043,             0.41064,             0.52776,             0.47936,             0.15151,            0.038522,             0.11629,            0.015302,          0.00034803,          0.00034803,          0.00034803,                   0
                  67,            0.031194,             0.02205,           0.0055019,             0.46097,             0.52094,              0.5132,             0.17052,            0.039874,             0.12356,            0.019214,          0.00034803,          0.00034803,          0.00034803,                   0
                  68,            0.031749,            0.022262,           0.0057827,             0.37749,             0.41657,             0.38119,             0.12193,            0.040657,             0.13012,             0.03826,          0.00033602,          0.00033602,          0.00033602,                   0
                  69,            0.032274,            0.021624,           0.0058843,             0.32727,             0.39021,             0.29453,            0.094983,            0.043258,             0.11866,            0.047171,          0.00032424,          0.00032424,          0.00032424,                   0
                  70,            0.031817,            0.021066,           0.0056461,             0.55177,             0.41597,             0.45767,              0.1677,            0.036247,             0.08945,            0.031512,          0.00031268,          0.00031268,          0.00031268,                   0
