               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061611,             0.10539,            0.017625,             0.46774,             0.46753,             0.41121,             0.13542,            0.060986,            0.075726,            0.018908,            0.007543,            0.007543,            0.007543
                  37,            0.061062,              0.1089,            0.016299,             0.50076,             0.40992,             0.41932,             0.12836,            0.063273,            0.074477,            0.020168,            0.007416,            0.007416,            0.007416
                  38,            0.061044,             0.10384,            0.016079,             0.59834,             0.42476,             0.46128,             0.17408,            0.060687,            0.072421,            0.017588,           0.0072872,           0.0072872,           0.0072872
                  39,            0.059929,             0.10745,            0.015393,              0.5887,              0.4383,             0.44977,             0.16672,            0.060157,            0.073704,            0.017655,           0.0071566,           0.0071566,           0.0071566
                  40,            0.059825,             0.10635,            0.015613,             0.51453,             0.42656,              0.4126,             0.15395,            0.060694,            0.074301,            0.020813,           0.0070243,           0.0070243,           0.0070243
                  41,            0.059674,             0.10387,            0.015937,             0.54469,             0.46426,             0.44559,             0.15719,            0.060713,            0.072537,            0.017976,           0.0068906,           0.0068906,           0.0068906
                  42,            0.059807,            0.099483,            0.015678,             0.63983,             0.42702,             0.44849,             0.16569,             0.05985,            0.073032,            0.017911,           0.0067555,           0.0067555,           0.0067555
                  43,            0.059151,            0.099598,            0.015646,             0.64278,             0.45157,             0.46489,              0.1643,            0.059532,            0.072108,            0.017857,           0.0066191,           0.0066191,           0.0066191
                  44,            0.059012,             0.10252,             0.01423,             0.50165,             0.45074,             0.41753,             0.16012,            0.060069,            0.073363,            0.017503,           0.0064816,           0.0064816,           0.0064816
                  45,             0.05962,             0.10493,            0.014784,             0.59709,             0.41477,             0.44603,             0.18059,            0.059245,            0.073322,            0.017489,           0.0063432,           0.0063432,           0.0063432
                  46,            0.057719,             0.10362,            0.014343,             0.61386,             0.45832,             0.48481,             0.18287,            0.058391,            0.071824,            0.015242,            0.006204,            0.006204,            0.006204
                  47,            0.057262,              0.1073,            0.013157,             0.60698,             0.44587,             0.46577,             0.17708,            0.057403,            0.072605,            0.015857,            0.006064,            0.006064,            0.006064
                  48,            0.056807,             0.10292,            0.013684,             0.71867,             0.42891,              0.4814,             0.18481,            0.059004,            0.073025,            0.017431,           0.0059235,           0.0059235,           0.0059235
                  49,            0.056531,             0.10319,            0.013356,             0.64794,             0.49683,             0.51239,             0.20764,            0.058111,            0.070853,             0.01635,           0.0057826,           0.0057826,           0.0057826
                  50,            0.056015,            0.096705,             0.01317,             0.59439,              0.4951,             0.47765,             0.17218,            0.058253,            0.070975,            0.015888,           0.0056413,           0.0056413,           0.0056413
                  51,            0.056269,              0.0991,            0.012158,             0.69453,             0.47551,             0.55113,             0.22759,            0.057575,            0.070616,            0.015292,              0.0055,              0.0055,              0.0055
                  52,            0.056179,            0.099691,            0.012708,             0.62307,             0.49959,             0.52922,             0.20683,            0.056939,            0.070044,            0.015872,           0.0053587,           0.0053587,           0.0053587
                  53,             0.05553,            0.096427,            0.012292,             0.63105,             0.56126,             0.52938,             0.22276,            0.056392,            0.071138,            0.015984,           0.0052174,           0.0052174,           0.0052174
                  54,            0.054704,             0.10055,            0.013425,             0.53474,             0.46659,             0.43191,              0.1496,             0.05829,            0.073121,            0.024075,           0.0050765,           0.0050765,           0.0050765
                  55,            0.055406,            0.099271,            0.012935,             0.58886,             0.39954,             0.42458,             0.17235,            0.059667,            0.074502,            0.019014,            0.004936,            0.004936,            0.004936
                  56,            0.055234,            0.098622,            0.012508,              0.6138,             0.53371,             0.51599,             0.19114,            0.057689,            0.074521,             0.01684,            0.004796,            0.004796,            0.004796
                  57,            0.055298,             0.10334,            0.012124,             0.60152,             0.50741,             0.52599,             0.21854,            0.055819,            0.072084,            0.016994,           0.0046568,           0.0046568,           0.0046568
                  58,            0.054491,            0.097621,            0.012459,             0.69856,             0.50671,             0.56089,                0.23,            0.056501,            0.069845,            0.013619,           0.0045184,           0.0045184,           0.0045184
                  59,            0.054181,             0.09914,            0.011424,             0.71511,              0.5116,             0.54942,             0.21737,            0.055911,            0.070784,            0.015972,           0.0043809,           0.0043809,           0.0043809
                  60,             0.05438,            0.098714,            0.011299,             0.71727,             0.39477,             0.48979,             0.18524,            0.056425,            0.072005,            0.013943,           0.0042445,           0.0042445,           0.0042445
                  61,            0.054351,            0.092488,            0.012175,              0.5742,              0.5525,             0.54631,             0.21323,            0.055367,             0.07034,            0.015194,           0.0041094,           0.0041094,           0.0041094
                  62,            0.053235,            0.096368,            0.010642,             0.75041,              0.4518,             0.53698,              0.2442,            0.055352,            0.070708,            0.014634,           0.0039757,           0.0039757,           0.0039757
                  63,            0.052978,            0.091648,            0.011272,             0.62094,             0.55959,             0.56251,              0.2396,            0.054606,            0.069499,            0.014572,           0.0038434,           0.0038434,           0.0038434
                  64,            0.052765,            0.097724,             0.01047,             0.67954,             0.51216,             0.55669,             0.23621,            0.054638,            0.070294,            0.013636,           0.0037128,           0.0037128,           0.0037128
                  65,            0.053086,            0.099877,            0.010945,             0.53638,              0.5868,             0.54441,             0.23742,            0.053947,            0.069767,            0.014049,            0.003584,            0.003584,            0.003584
                  66,            0.052752,            0.097989,            0.010507,             0.65771,              0.5532,             0.57904,             0.25054,            0.054182,            0.069376,            0.014564,            0.003457,            0.003457,            0.003457
                  67,            0.052019,            0.095678,           0.0099635,             0.75993,             0.52517,              0.5728,             0.23781,            0.054339,            0.069901,            0.014198,           0.0033321,           0.0033321,           0.0033321
                  68,            0.052284,            0.099396,            0.010264,             0.69105,             0.51325,             0.57006,             0.23711,            0.054142,            0.068765,            0.013352,           0.0032093,           0.0032093,           0.0032093
                  69,            0.051031,            0.093287,           0.0096963,             0.65714,             0.55301,             0.57564,             0.26108,            0.053558,            0.069369,             0.01542,           0.0030888,           0.0030888,           0.0030888
