               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.032278,            0.024903,           0.0064617,             0.61592,             0.42949,             0.45508,             0.19481,            0.042966,             0.01346,            0.011883,             1.4e-05,             1.4e-05,            0.049314,                   0
                   1,            0.031879,            0.022828,           0.0065239,             0.73855,             0.37495,             0.47628,             0.20652,            0.043016,            0.013811,           0.0094599,          2.8994e-05,          2.8994e-05,            0.048579,                   0
                   2,            0.030098,             0.02269,           0.0052706,             0.72352,             0.48751,             0.57325,             0.25419,            0.032468,            0.018213,           0.0079016,          4.3962e-05,          4.3962e-05,            0.047844,                   0
                   3,            0.031267,            0.022241,           0.0060254,              0.7479,             0.51465,             0.58723,              0.2681,            0.033634,            0.016309,           0.0082082,          5.8885e-05,          5.8885e-05,            0.047109,                   0
                   4,            0.031486,            0.022063,           0.0055426,             0.81278,             0.54768,             0.61152,             0.27691,            0.032931,            0.012679,           0.0066372,          7.3743e-05,          7.3743e-05,            0.046374,                   0
                   5,            0.030298,            0.022417,           0.0055389,             0.83945,              0.5609,             0.63738,             0.31276,            0.031774,             0.01393,           0.0059699,          8.8518e-05,          8.8518e-05,            0.045639,                   0
                   6,            0.030071,            0.022499,           0.0054183,             0.82341,             0.56691,             0.65584,             0.29353,            0.030858,            0.016019,           0.0061513,          0.00010319,          0.00010319,            0.044903,                   0
                   7,            0.030786,            0.021195,           0.0057172,             0.78077,             0.65231,             0.72579,             0.33843,            0.029396,            0.013436,            0.005029,          0.00011774,          0.00011774,            0.044168,                   0
                   8,            0.030394,            0.022025,           0.0054361,             0.77096,             0.69878,             0.73368,             0.36867,            0.028626,            0.012157,           0.0050261,          0.00013215,          0.00013215,            0.043432,                   0
                   9,             0.03019,            0.021832,           0.0052648,             0.84464,             0.60912,             0.68403,             0.32657,            0.029999,            0.012478,           0.0050864,           0.0001464,           0.0001464,            0.042696,                   0
                  10,             0.03026,            0.021075,           0.0053663,             0.74826,             0.63923,             0.68983,              0.3273,            0.030037,            0.012503,           0.0050283,          0.00016047,          0.00016047,             0.04196,                   0
                  11,            0.031205,            0.020109,           0.0061072,             0.79313,             0.62902,             0.69911,             0.34598,             0.02944,            0.012194,           0.0054585,          0.00017434,          0.00017434,            0.041224,                   0
                  12,            0.030766,            0.021376,           0.0052374,              0.7629,             0.61047,             0.70563,             0.32406,            0.030047,            0.012229,           0.0048762,          0.00018801,          0.00018801,            0.040488,                   0
                  13,            0.030264,            0.021913,           0.0055789,              0.8223,             0.69193,             0.74507,              0.3598,              0.0287,             0.01238,            0.005329,          0.00020144,          0.00020144,            0.039751,                   0
                  14,            0.030239,            0.022908,           0.0053785,             0.79051,             0.66073,             0.73126,             0.34858,             0.02831,            0.012753,           0.0051188,          0.00021462,          0.00021462,            0.039015,                   0
                  15,            0.029245,             0.02136,           0.0048542,             0.86535,              0.6757,             0.74521,             0.34509,            0.028962,            0.011707,           0.0041241,          0.00022754,          0.00022754,            0.038278,                   0
                  16,            0.030949,            0.024059,           0.0055355,             0.79236,             0.68881,             0.71454,             0.32682,            0.029061,            0.012497,           0.0046438,          0.00024018,          0.00024018,             0.03754,                   0
                  17,            0.031369,            0.022706,           0.0057667,             0.78863,             0.61985,             0.69202,             0.33452,             0.02935,            0.013129,            0.006057,          0.00025252,          0.00025252,            0.036803,                   0
                  18,            0.029888,            0.020642,           0.0050917,             0.76656,             0.64875,             0.70064,             0.34574,            0.028358,            0.013139,           0.0047545,          0.00026455,          0.00026455,            0.036065,                   0
                  19,             0.02982,            0.020928,           0.0052561,             0.85144,              0.6204,             0.72098,             0.35246,            0.027721,            0.012284,           0.0057495,          0.00027625,          0.00027625,            0.035326,                   0
                  20,            0.029342,            0.022691,           0.0047545,             0.71035,             0.62911,             0.67181,             0.33633,            0.027875,            0.012443,           0.0056795,          0.00028761,          0.00028761,            0.034588,                   0
                  21,            0.029287,            0.020574,           0.0048247,             0.75263,             0.65269,             0.71841,             0.33543,            0.028236,            0.012343,           0.0052282,          0.00029862,          0.00029862,            0.033849,                   0
                  22,            0.029243,            0.021611,           0.0048521,             0.78916,             0.70002,             0.75184,              0.3695,            0.027558,            0.012007,           0.0041854,          0.00030926,          0.00030926,            0.033109,                   0
                  23,            0.029079,            0.022091,           0.0047986,             0.76416,             0.71034,             0.76422,             0.35179,            0.027916,            0.012271,            0.004272,          0.00031953,          0.00031953,             0.03237,                   0
