               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.035422,            0.023338,            0.007124,             0.60751,             0.46143,             0.48338,             0.19774,            0.035907,            0.014471,           0.0086721,             1.4e-05,             1.4e-05,            0.049314,                   0
                   1,            0.032293,            0.022892,            0.006002,             0.65046,             0.58765,             0.64568,             0.29758,             0.03347,             0.01272,           0.0065354,          2.8994e-05,          2.8994e-05,            0.048579,                   0
                   2,            0.031962,            0.023136,           0.0056095,             0.73059,             0.62505,             0.67788,             0.31699,            0.031124,            0.013143,           0.0062045,          4.3962e-05,          4.3962e-05,            0.047844,                   0
                   3,            0.031249,            0.020945,           0.0050694,             0.70739,             0.62257,             0.67667,             0.30687,            0.031062,             0.01263,           0.0056689,          5.8885e-05,          5.8885e-05,            0.047109,                   0
                   4,            0.031547,            0.022281,           0.0056136,             0.69802,             0.67981,             0.71323,             0.33473,            0.029809,            0.011939,           0.0051344,          7.3743e-05,          7.3743e-05,            0.046374,                   0
                   5,            0.031535,            0.021297,           0.0055429,             0.79803,             0.68452,             0.74769,             0.36618,            0.028584,            0.011708,           0.0050991,          8.8518e-05,          8.8518e-05,            0.045639,                   0
                   6,            0.031585,            0.023125,           0.0057233,             0.76954,             0.70263,             0.75004,             0.34551,            0.028731,            0.011557,           0.0047929,          0.00010319,          0.00010319,            0.044903,                   0
                   7,            0.030804,            0.020672,           0.0051758,             0.76039,             0.66059,             0.72634,             0.32809,            0.028801,            0.011831,           0.0049982,          0.00011774,          0.00011774,            0.044168,                   0
                   8,            0.030235,            0.022689,           0.0051572,             0.80874,             0.68263,             0.73465,             0.36202,             0.02722,            0.011605,           0.0044203,          0.00013215,          0.00013215,            0.043432,                   0
                   9,            0.030848,            0.022019,           0.0056717,              0.8157,             0.68547,             0.75088,              0.3384,            0.028477,            0.011644,           0.0046684,           0.0001464,           0.0001464,            0.042696,                   0
                  10,             0.03104,            0.021802,           0.0054836,             0.76086,             0.74419,             0.75432,             0.35574,            0.028454,            0.011724,           0.0046898,          0.00016047,          0.00016047,             0.04196,                   0
                  11,            0.029831,            0.021314,           0.0050029,             0.76189,             0.73021,             0.75052,             0.33857,            0.028732,            0.011865,           0.0046799,          0.00017434,          0.00017434,            0.041224,                   0
                  12,            0.030186,             0.02149,           0.0052585,             0.78009,             0.71595,             0.74152,             0.36072,            0.027721,            0.011749,           0.0042838,          0.00018801,          0.00018801,            0.040488,                   0
                  13,            0.030269,             0.02094,            0.004995,             0.79216,             0.71717,             0.74694,             0.36662,            0.027479,            0.011495,           0.0041966,          0.00020144,          0.00020144,            0.039751,                   0
                  14,             0.02942,            0.021585,           0.0046795,             0.77656,              0.7448,             0.75728,              0.3682,            0.027097,            0.011659,           0.0050219,          0.00021462,          0.00021462,            0.039015,                   0
                  15,            0.029722,             0.02174,            0.004709,              0.7908,             0.68498,              0.7438,             0.36198,            0.027724,            0.011805,           0.0046146,          0.00022754,          0.00022754,            0.038278,                   0
                  16,            0.029843,            0.021763,           0.0049712,             0.79349,             0.70708,             0.74866,             0.35218,            0.028122,            0.012119,           0.0046842,          0.00024018,          0.00024018,             0.03754,                   0
                  17,            0.030441,            0.020402,           0.0050538,             0.81189,             0.66525,             0.72735,             0.34297,            0.027608,            0.012075,           0.0045955,          0.00025252,          0.00025252,            0.036803,                   0
                  18,            0.029283,            0.020795,           0.0044957,             0.86388,             0.68013,             0.75763,             0.35224,            0.027863,            0.012075,           0.0041914,          0.00026455,          0.00026455,            0.036065,                   0
                  19,            0.029244,            0.022434,           0.0045916,             0.78665,             0.69791,             0.74067,             0.34809,            0.027179,            0.011694,           0.0039272,          0.00027625,          0.00027625,            0.035326,                   0
                  20,            0.029341,             0.02049,           0.0046642,             0.82181,             0.71959,             0.76695,             0.36708,            0.026942,             0.01135,           0.0044346,          0.00028761,          0.00028761,            0.034588,                   0
                  21,            0.028785,            0.021498,           0.0045859,             0.81278,             0.73238,              0.7744,             0.36115,            0.027563,            0.011563,           0.0043536,          0.00029862,          0.00029862,            0.033849,                   0
                  22,            0.029262,            0.018877,            0.004707,             0.85745,             0.74137,             0.79776,             0.36813,            0.026902,            0.011449,           0.0039894,          0.00030926,          0.00030926,            0.033109,                   0
                  23,            0.029424,            0.021782,           0.0047833,             0.79157,              0.7162,               0.744,             0.36856,            0.026891,            0.011554,            0.004526,          0.00031953,          0.00031953,             0.03237,                   0
                  24,            0.029364,            0.020774,           0.0047107,             0.84212,             0.71049,             0.77479,             0.36756,            0.026619,            0.011317,            0.004132,           0.0003294,           0.0003294,            0.031629,                   0
                  25,            0.028772,            0.020868,           0.0045016,             0.83605,             0.70538,             0.77495,             0.37627,            0.026632,            0.011466,           0.0043513,          0.00033887,          0.00033887,            0.030889,                   0
                  26,            0.029305,            0.020515,           0.0049537,             0.81888,             0.73093,             0.76143,             0.36092,             0.02697,            0.011737,           0.0040003,          0.00034793,          0.00034793,            0.030148,                   0
                  27,            0.028632,            0.022298,           0.0047562,             0.79705,             0.74051,             0.76323,             0.37586,            0.026347,            0.011299,           0.0038798,          0.00035656,          0.00035656,            0.029407,                   0
                  28,            0.028041,            0.019386,           0.0041068,             0.81828,             0.73648,             0.77192,             0.37654,             0.02663,            0.011466,           0.0043538,          0.00036476,          0.00036476,            0.028665,                   0
                  29,            0.029372,             0.02149,           0.0046136,             0.80944,             0.68591,             0.73519,             0.36487,             0.02694,            0.011428,            0.004243,          0.00037253,          0.00037253,            0.027923,                   0
                  30,            0.028691,            0.020424,           0.0045763,             0.81261,             0.72348,             0.78436,             0.37823,            0.026784,            0.011292,           0.0043488,          0.00037984,          0.00037984,             0.02718,                   0
                  31,            0.028207,            0.021792,           0.0042373,             0.80279,             0.66304,             0.73496,             0.36668,            0.027124,            0.011739,             0.00468,           0.0003867,           0.0003867,            0.026437,                   0
                  32,            0.028469,            0.021489,            0.004527,             0.78359,              0.6689,              0.7135,             0.35261,            0.027448,            0.011738,           0.0043961,          0.00039311,          0.00039311,            0.025693,                   0
                  33,            0.028741,            0.019592,             0.00467,             0.77886,             0.69875,             0.74741,             0.35025,            0.027672,            0.011575,           0.0042606,          0.00039904,          0.00039904,            0.024949,                   0
                  34,            0.028655,            0.020015,           0.0041435,             0.81587,             0.72688,             0.76597,             0.37989,             0.02643,            0.011089,           0.0035893,          0.00040451,          0.00040451,            0.024205,                   0
                  35,            0.028353,            0.020808,           0.0040855,             0.82132,             0.75275,             0.77183,             0.39263,            0.026132,            0.011198,           0.0040151,          0.00040951,          0.00040951,             0.02346,                   0
                  36,            0.028919,            0.021233,           0.0044969,             0.79276,             0.73624,             0.74898,             0.37257,             0.02665,            0.011376,            0.004042,          0.00041403,          0.00041403,            0.022714,                   0
                  37,            0.028686,            0.021437,           0.0042526,             0.82053,             0.72233,             0.77056,             0.39892,            0.026419,            0.011291,            0.004054,          0.00041807,          0.00041807,            0.021968,                   0
                  38,            0.027685,            0.019272,           0.0039453,             0.79087,             0.76579,             0.78203,             0.38976,            0.026149,            0.011234,           0.0044506,          0.00042163,          0.00042163,            0.021222,                   0
                  39,            0.028793,            0.021219,           0.0044481,             0.79715,             0.75086,             0.78756,             0.38843,            0.026376,            0.011141,           0.0043021,          0.00042472,          0.00042472,            0.020475,                   0
                  40,            0.027385,            0.019828,           0.0039938,             0.84027,              0.7057,             0.76239,             0.39259,            0.026039,             0.01178,           0.0040768,          0.00042732,          0.00042732,            0.019727,                   0
                  41,            0.028237,            0.019847,           0.0042418,             0.77277,             0.72947,             0.73511,             0.35823,            0.026371,            0.011342,            0.004068,          0.00042945,          0.00042945,            0.018979,                   0
                  42,             0.02792,            0.021092,           0.0042775,             0.80519,             0.70672,             0.73783,             0.36716,            0.026442,            0.011559,           0.0038789,          0.00043111,          0.00043111,            0.018231,                   0
                  43,            0.029112,            0.020791,           0.0045974,             0.76273,             0.71135,             0.73479,             0.33887,             0.02741,            0.011501,           0.0040397,          0.00043229,          0.00043229,            0.017482,                   0
                  44,            0.028244,            0.019702,           0.0042514,             0.78406,             0.73489,              0.7375,             0.38374,            0.026155,            0.011313,           0.0038303,          0.00043301,          0.00043301,            0.016733,                   0
                  45,              0.0282,             0.02077,           0.0041597,             0.78887,             0.76027,             0.76712,             0.40375,            0.026205,            0.011427,           0.0038631,          0.00043326,          0.00043326,            0.015983,                   0
                  46,            0.028028,            0.021082,           0.0042002,             0.77143,              0.7707,             0.78974,             0.38116,            0.026061,            0.011407,           0.0039937,          0.00043306,          0.00043306,            0.015233,                   0
