               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.048319,            0.096205,           0.0092719,             0.67441,             0.62451,             0.67198,             0.27803,            0.050964,            0.069569,            0.013885,            0.006436,            0.006436,            0.006436
                  38,            0.048834,            0.088996,           0.0093111,              0.6899,             0.62261,               0.644,             0.28412,            0.050803,            0.069748,            0.013015,            0.006337,            0.006337,            0.006337
                  39,            0.047267,            0.083325,           0.0096606,             0.72915,             0.65985,             0.71111,             0.32461,            0.050213,             0.06781,            0.012593,            0.006238,            0.006238,            0.006238
                  40,            0.047371,            0.089651,           0.0089237,             0.75445,             0.66397,             0.68046,             0.30403,            0.050777,             0.06752,             0.01164,            0.006139,            0.006139,            0.006139
                  41,            0.047526,            0.089219,           0.0088075,             0.64324,             0.69263,             0.70511,             0.31528,            0.051032,             0.06776,            0.013043,             0.00604,             0.00604,             0.00604
                  42,            0.047463,            0.087402,           0.0090611,             0.72969,             0.65467,             0.69323,             0.29848,            0.050208,            0.066551,            0.013158,            0.005941,            0.005941,            0.005941
                  43,            0.046927,            0.088454,           0.0080653,             0.70801,             0.62797,             0.68135,             0.30885,            0.050421,            0.067932,            0.012118,            0.005842,            0.005842,            0.005842
                  44,            0.045994,            0.088755,           0.0078789,             0.75549,             0.63978,             0.71848,             0.34281,             0.04962,            0.068623,            0.012298,            0.005743,            0.005743,            0.005743
                  45,            0.045867,            0.084723,           0.0075406,             0.78314,              0.6277,             0.70872,             0.32946,            0.049492,            0.068558,            0.012966,            0.005644,            0.005644,            0.005644
                  46,            0.046318,            0.089287,           0.0078014,             0.71454,             0.61657,             0.66662,             0.30265,             0.05021,             0.06982,             0.01292,            0.005545,            0.005545,            0.005545
                  47,            0.048245,            0.087099,            0.008455,             0.69972,             0.65567,             0.64961,             0.26865,            0.052372,            0.068146,            0.012819,            0.005446,            0.005446,            0.005446
                  48,            0.046666,            0.086858,           0.0082006,             0.75549,             0.65651,             0.69422,             0.31173,            0.050165,            0.068615,            0.013809,            0.005347,            0.005347,            0.005347
                  49,            0.045571,            0.084104,           0.0077003,             0.74357,             0.67842,             0.71788,             0.34227,            0.049381,            0.066551,            0.013979,            0.005248,            0.005248,            0.005248
                  50,            0.045315,            0.083334,            0.007048,             0.70094,             0.68667,             0.69876,             0.34037,            0.049268,            0.068005,            0.012269,            0.005149,            0.005149,            0.005149
                  51,            0.045501,             0.08056,            0.007559,             0.75034,             0.64154,             0.68272,             0.32829,             0.04953,            0.069389,            0.013679,             0.00505,             0.00505,             0.00505
                  52,            0.043988,            0.076643,           0.0075152,             0.69719,             0.67946,              0.7168,             0.34651,            0.049531,            0.068516,            0.014537,            0.004951,            0.004951,            0.004951
                  53,            0.044628,            0.080793,           0.0073206,              0.7261,             0.69483,              0.7157,             0.34386,            0.049567,            0.067421,            0.013426,            0.004852,            0.004852,            0.004852
                  54,            0.043789,            0.083205,           0.0074592,             0.80158,             0.67344,             0.72193,             0.34204,            0.048811,            0.068031,            0.013193,            0.004753,            0.004753,            0.004753
                  55,            0.044289,            0.084002,           0.0073245,             0.68004,             0.71239,             0.70421,              0.3253,            0.048854,            0.068039,            0.013675,            0.004654,            0.004654,            0.004654
                  56,            0.044303,            0.081522,            0.006254,              0.6966,             0.63928,             0.66589,             0.28988,            0.049588,            0.070061,            0.013325,            0.004555,            0.004555,            0.004555
                  57,            0.043878,            0.084379,           0.0066934,             0.69831,             0.70863,             0.69096,             0.34272,            0.047824,            0.070736,            0.014935,            0.004456,            0.004456,            0.004456
