               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.093953,             0.10427,            0.054525,             0.47399,             0.01499,            0.010885,           0.0016921,            0.099407,            0.073361,            0.058602,             0.00028,             0.00028,             0.09748,                0.01
                   1,            0.071345,             0.11112,            0.041484,             0.30739,             0.13227,            0.036987,           0.0076562,            0.086587,             0.28139,            0.054522,          0.00056949,          0.00056949,            0.094869,             0.00982
                   2,            0.066372,            0.099205,            0.032877,             0.30562,             0.23483,            0.071126,            0.016815,            0.083209,            0.087288,            0.040984,          0.00085695,          0.00085695,            0.092257,             0.00964
                   3,            0.063133,             0.10492,            0.025422,              0.3727,             0.25891,             0.11537,            0.029359,            0.074363,            0.089407,            0.039106,           0.0011408,           0.0011408,            0.089641,             0.00946
                   4,            0.063218,             0.10323,            0.022835,             0.33334,             0.38393,             0.20045,            0.057168,            0.067213,             0.09248,            0.031035,           0.0014196,           0.0014196,             0.08702,             0.00928
                   5,            0.063348,             0.10154,            0.022567,                0.68,             0.20538,             0.22172,            0.068153,            0.070067,            0.076436,            0.031177,           0.0016919,           0.0016919,            0.084392,              0.0091
                   6,            0.063322,            0.097098,            0.021275,             0.27975,             0.26703,             0.18843,              0.0629,            0.070086,            0.082085,            0.029802,           0.0019562,           0.0019562,            0.081756,             0.00892
                   7,            0.061417,             0.10581,            0.018204,             0.37892,             0.29013,             0.21683,            0.060607,            0.066662,            0.078948,            0.023968,           0.0022111,           0.0022111,            0.079111,             0.00874
                   8,            0.061564,               0.102,            0.018479,             0.25111,             0.37391,             0.24911,            0.086432,            0.067091,            0.086518,            0.025536,           0.0024553,           0.0024553,            0.076455,             0.00856
                   9,            0.061344,             0.10068,            0.018266,             0.33717,             0.19664,             0.17045,            0.052377,            0.068867,            0.098272,            0.029516,           0.0026875,           0.0026875,            0.073788,             0.00838
                  10,            0.062651,             0.10465,            0.019627,             0.20175,             0.12498,            0.096457,            0.036523,            0.080334,            0.099838,            0.037795,           0.0029067,           0.0029067,            0.071107,              0.0082
                  11,            0.061845,             0.10415,            0.018235,              0.1625,              0.1696,             0.15714,            0.047102,             0.07935,             0.11298,            0.041733,           0.0031117,           0.0031117,            0.068412,             0.00802
                  12,            0.061614,             0.10373,              0.0194,             0.22683,              0.0325,            0.015848,           0.0035832,            0.086779,             0.10426,            0.051114,           0.0033014,           0.0033014,            0.065701,             0.00784
                  13,            0.062147,             0.10422,            0.018556,           0.0082967,           0.0071429,           0.0047036,           0.0013118,            0.089513,             0.10193,            0.052961,           0.0034751,           0.0034751,            0.062975,             0.00766
                  14,            0.063143,             0.10668,            0.018866,            0.045408,            0.021837,             0.02677,           0.0065271,            0.088611,             0.10018,            0.054159,           0.0036319,           0.0036319,            0.060232,             0.00748
                  15,            0.065053,               0.105,            0.020379,           0.0026293,            0.010714,           0.0037553,          0.00090822,            0.089186,            0.099152,            0.055779,           0.0037712,           0.0037712,            0.057471,              0.0073
                  16,            0.064322,             0.10676,            0.021694,             0.19843,           0.0010714,           0.0014113,          0.00026612,            0.089333,            0.097843,            0.054952,           0.0038923,           0.0038923,            0.054692,             0.00712
                  17,            0.064679,             0.10686,            0.022182,            0.040942,            0.049393,            0.030119,           0.0089967,            0.088676,            0.096913,            0.054601,            0.003995,            0.003995,            0.051895,             0.00694
                  18,            0.064796,             0.10705,            0.023783,             0.06524,            0.079107,            0.043114,            0.019437,            0.086374,            0.093384,            0.050569,           0.0040788,           0.0040788,            0.049079,             0.00676
                  19,            0.065064,             0.10617,            0.022989,             0.13184,             0.16966,             0.11485,             0.03956,            0.081693,            0.092438,            0.044727,           0.0041436,           0.0041436,            0.046244,             0.00658
                  20,             0.06416,             0.10384,            0.023037,             0.50248,             0.18481,             0.21071,            0.082602,            0.076222,            0.087932,             0.03957,           0.0041895,           0.0041895,            0.043389,              0.0064
                  21,             0.06475,            0.099656,            0.023893,             0.32737,             0.10691,            0.082812,            0.028358,            0.079667,             0.08746,            0.043313,           0.0042164,           0.0042164,            0.040516,             0.00622
                  22,            0.063841,             0.10539,            0.022588,             0.44774,             0.27666,             0.26931,            0.096775,            0.068999,            0.076853,             0.03104,           0.0042246,           0.0042246,            0.037625,             0.00604
                  23,            0.062669,            0.099785,            0.022314,             0.33227,             0.35424,             0.28972,             0.10403,            0.068751,            0.075753,            0.032297,           0.0042145,           0.0042145,            0.034714,             0.00586
                  24,            0.063039,             0.10114,            0.022016,             0.40084,             0.21287,             0.18568,            0.064264,            0.072658,            0.079718,            0.034937,           0.0041866,           0.0041866,            0.031787,             0.00568
                  25,            0.062205,            0.098482,            0.021661,             0.46991,             0.31956,             0.31736,            0.091053,            0.065363,            0.074654,            0.026003,           0.0041415,           0.0041415,            0.028842,              0.0055
                  26,            0.061526,            0.098978,            0.020531,             0.57795,             0.28275,             0.32929,             0.12044,            0.063865,            0.075064,            0.029034,             0.00408,             0.00408,             0.02588,             0.00532
                  27,             0.06165,            0.099368,            0.021337,             0.28158,             0.43578,             0.33133,             0.11685,            0.064756,            0.082711,            0.027656,           0.0040031,           0.0040031,            0.022903,             0.00514
                  28,            0.060488,             0.10111,            0.019961,             0.41418,             0.38585,             0.36967,             0.12776,            0.065067,            0.075985,            0.026434,           0.0039117,           0.0039117,            0.019912,             0.00496
                  29,            0.059563,            0.099884,            0.019413,             0.59475,              0.3559,             0.37273,             0.12505,            0.062922,            0.092669,            0.025977,            0.003807,            0.003807,            0.016907,             0.00478
                  30,            0.060421,             0.10047,            0.019236,             0.52907,             0.42153,              0.4039,             0.14145,            0.063935,            0.073242,            0.022854,           0.0036903,           0.0036903,             0.01389,              0.0046
                  31,            0.058726,            0.096426,            0.019142,             0.51992,              0.4252,              0.4193,             0.15429,            0.060543,            0.073566,            0.021885,           0.0035629,           0.0035629,            0.010863,             0.00442
