               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.089826,             0.10444,            0.052377,             0.12205,            0.044421,           0.0089275,           0.0013107,             0.10287,            0.074243,            0.060277,             0.00028,             0.00028,             0.09748,              0.0001
                   1,            0.068648,             0.10876,            0.039514,             0.37802,             0.12079,            0.059887,            0.014647,            0.084664,             0.12049,            0.055975,          0.00056949,          0.00056949,            0.094869,            9.82e-05
                   2,             0.06556,            0.097569,            0.031078,              0.4223,             0.25821,            0.094137,            0.021071,            0.073537,             0.11175,            0.033394,          0.00085695,          0.00085695,            0.092257,            9.64e-05
                   3,            0.062644,             0.10462,            0.024009,             0.39398,             0.22754,             0.16061,            0.046009,            0.071719,             0.09675,            0.030769,           0.0011408,           0.0011408,            0.089641,            9.46e-05
                   4,            0.061747,             0.10114,             0.02076,             0.35792,             0.33905,             0.19727,            0.057862,            0.065829,             0.12837,            0.027804,           0.0014196,           0.0014196,             0.08702,            9.28e-05
                   5,            0.061166,             0.10018,            0.020355,             0.59101,              0.2248,             0.20688,            0.069125,            0.068998,             0.10868,            0.032676,           0.0016919,           0.0016919,            0.084392,             9.1e-05
                   6,            0.061215,            0.095987,            0.019451,             0.49502,             0.20121,             0.16249,            0.041685,            0.070314,             0.19293,            0.038186,           0.0019562,           0.0019562,            0.081756,            8.92e-05
                   7,            0.060747,             0.10445,            0.016862,             0.22275,             0.39467,             0.23038,            0.072064,            0.068166,            0.087792,            0.026583,           0.0022111,           0.0022111,            0.079111,            8.74e-05
                   8,            0.061358,             0.10099,            0.016921,             0.39997,             0.42658,             0.26487,            0.071141,            0.066698,             0.17276,            0.033419,           0.0024553,           0.0024553,            0.076455,            8.56e-05
                   9,            0.059584,            0.099179,            0.016464,             0.43969,             0.36871,             0.30078,            0.083117,            0.067353,            0.091423,            0.028805,           0.0026875,           0.0026875,            0.073788,            8.38e-05
                  10,            0.060086,             0.10466,            0.017975,             0.52604,             0.32217,             0.25529,             0.06257,            0.070581,             0.11725,            0.027966,           0.0029067,           0.0029067,            0.071107,             8.2e-05
                  11,            0.060192,             0.10264,            0.015519,             0.46057,             0.40364,             0.41732,             0.13028,            0.062874,            0.096688,            0.026741,           0.0031117,           0.0031117,            0.068412,            8.02e-05
                  12,            0.057606,             0.10038,            0.015176,             0.35178,             0.44662,             0.35606,             0.11644,            0.062683,            0.085366,            0.028745,           0.0033014,           0.0033014,            0.065701,            7.84e-05
                  13,            0.057728,             0.10096,            0.014601,             0.43857,             0.49365,             0.42141,             0.14624,            0.059838,            0.077252,            0.022451,           0.0034751,           0.0034751,            0.062975,            7.66e-05
                  14,            0.057734,             0.10238,            0.013939,             0.46262,             0.53645,             0.45289,             0.13729,            0.063426,            0.075242,            0.020103,           0.0036319,           0.0036319,            0.060232,            7.48e-05
                  15,            0.057439,            0.099171,            0.013395,             0.47517,             0.30799,             0.29143,            0.077192,            0.070265,             0.14453,            0.033187,           0.0037712,           0.0037712,            0.057471,             7.3e-05
                  16,            0.056149,            0.099814,             0.01427,             0.62922,              0.3886,              0.4394,             0.18082,            0.058515,            0.077783,            0.023202,           0.0038923,           0.0038923,            0.054692,            7.12e-05
                  17,            0.056295,             0.10131,            0.013333,             0.42618,              0.3113,             0.27937,            0.084272,            0.067579,            0.081186,            0.026397,            0.003995,            0.003995,            0.051895,            6.94e-05
                  18,            0.055797,            0.099879,            0.013313,             0.49343,             0.49795,             0.48085,             0.16549,            0.058873,            0.083913,            0.024236,           0.0040788,           0.0040788,            0.049079,            6.76e-05
                  19,            0.054783,            0.099761,            0.012435,             0.57339,             0.42555,             0.47704,             0.17677,            0.057788,            0.078519,            0.020148,           0.0041436,           0.0041436,            0.046244,            6.58e-05
                  20,             0.05449,            0.097083,            0.012964,             0.58115,             0.41659,             0.45222,             0.17795,            0.056624,             0.07443,            0.020361,           0.0041895,           0.0041895,            0.043389,             6.4e-05
                  21,            0.054833,            0.093893,            0.013437,             0.53349,               0.535,             0.53362,             0.21608,            0.055557,            0.083003,            0.019077,           0.0042164,           0.0042164,            0.040516,            6.22e-05
                  22,            0.054602,            0.098141,            0.011857,             0.74334,             0.45081,              0.5319,             0.19621,            0.056069,            0.079133,            0.019221,           0.0042246,           0.0042246,            0.037625,            6.04e-05
