               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,       sparsity_rate
                   0,            0.093313,             0.10434,            0.054337,             0.29126,           0.0095814,           0.0029224,          0.00059612,             0.10154,            0.075482,            0.061199,             0.00028,             0.00028,             0.09748,              0.0007
                   1,            0.070555,             0.11064,            0.041337,             0.60524,            0.096859,            0.050753,            0.011087,             0.08259,             0.11682,            0.045902,          0.00056949,          0.00056949,            0.094869,           0.0006874
                   2,            0.065825,            0.099296,            0.032789,             0.28901,             0.36106,            0.088804,            0.023423,            0.077598,             0.11293,            0.042149,          0.00085695,          0.00085695,            0.092257,           0.0006748
                   3,            0.063577,              0.1045,              0.0249,             0.31542,             0.16969,             0.10109,            0.027142,            0.081546,             0.13066,            0.036547,           0.0011408,           0.0011408,            0.089641,           0.0006622
                   4,            0.062461,             0.10317,            0.022213,             0.48148,             0.35428,              0.2422,            0.074456,            0.067501,             0.14059,            0.028557,           0.0014196,           0.0014196,             0.08702,           0.0006496
                   5,            0.063104,             0.10096,            0.022382,             0.40671,             0.26615,             0.17992,            0.048237,            0.071043,             0.12061,            0.032381,           0.0016919,           0.0016919,            0.084392,            0.000637
                   6,            0.062739,            0.097003,            0.021364,              0.3685,             0.30827,             0.23907,            0.077318,            0.066019,            0.095684,            0.025733,           0.0019562,           0.0019562,            0.081756,           0.0006244
                   7,            0.061841,             0.10701,            0.018888,             0.47387,             0.27364,             0.21505,            0.061612,            0.069824,            0.092531,            0.027724,           0.0022111,           0.0022111,            0.079111,           0.0006118
                   8,            0.062968,             0.10313,            0.019682,             0.45635,             0.37968,             0.31721,             0.11552,            0.065488,            0.081689,            0.024301,           0.0024553,           0.0024553,            0.076455,           0.0005992
                   9,            0.061554,             0.10159,            0.019197,             0.47626,             0.16661,             0.15621,            0.046576,            0.075332,            0.080026,            0.038838,           0.0026875,           0.0026875,            0.073788,           0.0005866
                  10,            0.062922,             0.10678,            0.020794,             0.46318,             0.23009,             0.20439,            0.064735,            0.070195,            0.087425,            0.031698,           0.0029067,           0.0029067,            0.071107,            0.000574
                  11,            0.062969,             0.10579,            0.019275,             0.56623,             0.23338,             0.23449,            0.075328,            0.069559,            0.079764,            0.032778,           0.0031117,           0.0031117,            0.068412,           0.0005614
                  12,            0.061451,             0.10383,            0.020029,             0.28582,             0.35875,             0.18646,            0.055403,            0.068858,            0.089672,            0.041089,           0.0033014,           0.0033014,            0.065701,           0.0005488
                  13,            0.061688,             0.10491,            0.018399,             0.53321,             0.26476,             0.26855,            0.088596,            0.064806,            0.086603,            0.028249,           0.0034751,           0.0034751,            0.062975,           0.0005362
                  14,            0.061064,             0.10627,            0.017087,             0.43259,             0.28443,             0.26639,            0.077943,            0.065358,            0.083552,            0.027628,           0.0036319,           0.0036319,            0.060232,           0.0005236
                  15,            0.062362,             0.10379,            0.017305,             0.44805,             0.23482,             0.21719,            0.079482,            0.069522,            0.088305,            0.032727,           0.0037712,           0.0037712,            0.057471,            0.000511
                  16,            0.060874,              0.1053,            0.018585,             0.33515,             0.33309,             0.26464,            0.087113,            0.067097,            0.093361,            0.029351,           0.0038923,           0.0038923,            0.054692,           0.0004984
                  17,            0.061015,             0.10675,            0.018286,             0.55032,             0.22448,             0.22472,            0.062693,            0.066331,            0.089905,            0.031232,            0.003995,            0.003995,            0.051895,           0.0004858
                  18,            0.060091,             0.10529,            0.018147,             0.49997,             0.34068,              0.3132,             0.11523,            0.067239,            0.084747,            0.029029,           0.0040788,           0.0040788,            0.049079,           0.0004732
                  19,            0.060999,             0.10457,            0.016906,             0.63844,              0.1996,             0.26094,             0.10991,            0.066732,            0.093271,             0.03207,           0.0041436,           0.0041436,            0.046244,           0.0004606
                  20,             0.06042,             0.10364,            0.018027,             0.44306,             0.28004,             0.30296,             0.10889,            0.067389,            0.094395,            0.031155,           0.0041895,           0.0041895,            0.043389,            0.000448
                  21,            0.061936,            0.099292,            0.019135,             0.47098,             0.35167,             0.31387,             0.10077,            0.064916,            0.082992,            0.026478,           0.0042164,           0.0042164,            0.040516,           0.0004354
                  22,            0.060709,             0.10533,            0.017069,             0.50796,             0.31379,             0.30893,               0.119,            0.063899,            0.082419,            0.025054,           0.0042246,           0.0042246,            0.037625,           0.0004228
                  23,            0.058406,             0.10093,            0.017121,             0.55913,             0.24454,             0.23559,            0.096837,            0.070382,            0.093603,            0.035241,           0.0042145,           0.0042145,            0.034714,           0.0004102
                  24,            0.059862,             0.10309,            0.017142,             0.43057,             0.26281,             0.28023,            0.092786,            0.068117,             0.08142,            0.025661,           0.0041866,           0.0041866,            0.031787,           0.0003976
                  25,            0.059375,             0.10036,            0.017249,             0.58371,              0.2692,             0.28658,            0.096365,            0.065518,            0.084365,            0.026407,           0.0041415,           0.0041415,            0.028842,            0.000385
                  26,            0.059034,              0.1025,            0.016946,             0.42057,             0.26362,             0.26958,             0.10777,            0.066266,            0.092431,            0.025879,             0.00408,             0.00408,             0.02588,           0.0003724
                  27,            0.059979,             0.10233,            0.018883,             0.62321,             0.31988,             0.32801,             0.10978,            0.062721,            0.081786,             0.02238,           0.0040031,           0.0040031,            0.022903,           0.0003598
                  28,            0.058554,             0.10424,            0.016112,             0.42241,             0.32421,             0.36942,             0.13169,            0.063499,              0.0793,              0.0235,           0.0039117,           0.0039117,            0.019912,           0.0003472
                  29,            0.058108,             0.10236,            0.015588,             0.59184,             0.42658,             0.43905,             0.17385,            0.057403,            0.079194,            0.021916,            0.003807,            0.003807,            0.016907,           0.0003346
                  30,            0.057774,             0.10259,            0.015341,             0.38423,             0.44572,             0.40386,             0.16521,            0.059984,            0.087375,            0.023519,           0.0036903,           0.0036903,             0.01389,            0.000322
                  31,            0.056852,            0.098456,            0.015651,             0.45569,             0.39333,              0.3713,             0.12673,            0.063356,             0.07837,            0.022723,           0.0035629,           0.0035629,            0.010863,           0.0003094
                  32,            0.057602,             0.10378,            0.015985,               0.531,             0.35922,             0.39371,             0.12613,            0.060809,            0.078382,            0.020374,           0.0034263,           0.0034263,           0.0078263,           0.0002968
                  33,            0.056039,             0.10128,            0.015001,             0.71586,             0.45397,             0.50227,             0.20352,            0.056291,            0.072771,            0.017299,           0.0032821,           0.0032821,           0.0047821,           0.0002842
                  34,            0.056937,            0.098135,            0.014612,             0.44049,             0.50971,             0.46002,             0.17102,             0.05908,            0.073757,            0.020134,           0.0030888,           0.0030888,           0.0030888,           0.0002716
                  35,            0.055762,            0.097907,            0.014853,             0.65764,             0.40818,              0.4692,             0.18223,            0.057432,            0.072869,             0.01872,           0.0030888,           0.0030888,           0.0030888,            0.000259
                  36,            0.055751,             0.10051,            0.014467,              0.6606,             0.39028,              0.4445,             0.15527,            0.058806,            0.074868,            0.020215,            0.002855,            0.002855,            0.002855,           0.0002464
                  37,            0.055873,             0.10269,             0.01366,             0.60652,             0.47001,             0.49971,             0.20356,            0.057292,            0.074311,            0.017013,           0.0026316,           0.0026316,           0.0026316,           0.0002338
                  38,            0.053468,            0.098848,            0.012841,             0.58754,             0.42306,             0.45976,             0.18941,            0.057459,             0.07634,            0.017391,           0.0024195,           0.0024195,           0.0024195,           0.0002212
                  39,            0.052468,            0.092833,            0.012425,              0.6085,             0.45351,             0.49316,             0.19549,            0.057745,             0.07619,            0.017889,           0.0022196,           0.0022196,           0.0022196,           0.0002086
                  40,            0.052867,            0.098481,             0.01216,             0.52855,             0.53175,             0.50594,             0.20823,            0.056741,            0.075001,            0.018569,           0.0020327,           0.0020327,           0.0020327,            0.000196
                  41,             0.05212,            0.098425,             0.01178,             0.65748,             0.56598,             0.62128,             0.23349,            0.053419,            0.070265,            0.015397,           0.0018594,           0.0018594,           0.0018594,           0.0001834
                  42,            0.050954,            0.092256,            0.011379,             0.72043,             0.56157,             0.63351,             0.27054,            0.052019,            0.069849,            0.014888,           0.0017005,           0.0017005,           0.0017005,           0.0001708
                  43,            0.050159,            0.094187,            0.010617,             0.74182,             0.52006,             0.58787,             0.23899,            0.052301,            0.072095,            0.018131,           0.0015566,           0.0015566,           0.0015566,           0.0001582
                  44,            0.048968,            0.091577,            0.010441,              0.6993,             0.63711,             0.67098,             0.26938,            0.050394,            0.068185,            0.014336,           0.0014283,           0.0014283,           0.0014283,           0.0001456
                  45,            0.049281,            0.090034,            0.010009,             0.81593,             0.60254,             0.68986,             0.29002,            0.051022,            0.068574,            0.014141,            0.001316,            0.001316,            0.001316,            0.000133
                  46,            0.048849,            0.091489,            0.010023,             0.71214,             0.58897,             0.65738,             0.27497,            0.052036,            0.069853,            0.014365,           0.0012202,           0.0012202,           0.0012202,           0.0001204
                  47,            0.048183,            0.089888,             0.01048,             0.73804,             0.53682,              0.6073,             0.28004,            0.053502,            0.070275,            0.014845,           0.0011414,           0.0011414,           0.0011414,           0.0001078
                  48,            0.047035,            0.088711,            0.010007,             0.61315,             0.61282,             0.61731,             0.29133,            0.049666,            0.069851,            0.013742,           0.0010797,           0.0010797,           0.0010797,            9.52e-05
                  49,            0.047518,            0.089079,           0.0090818,             0.73523,             0.59571,              0.6542,             0.29562,            0.050251,            0.067762,            0.013411,           0.0010355,           0.0010355,           0.0010355,            8.26e-05
