               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.06088,             0.10185,            0.016742,             0.52026,             0.40319,              0.3866,             0.13715,            0.061659,            0.073506,            0.020686,            0.007543,            0.007543,            0.007543
                  37,            0.060976,             0.10185,            0.016246,             0.52278,             0.40452,             0.37186,             0.12458,            0.061546,            0.075046,            0.018397,            0.007416,            0.007416,            0.007416
                  38,            0.060474,              0.1032,            0.017083,             0.59373,             0.36356,             0.41157,             0.15441,            0.061139,            0.076038,            0.021073,           0.0072872,           0.0072872,           0.0072872
                  39,            0.059111,            0.098743,            0.016312,             0.52224,             0.44292,             0.42426,             0.16121,            0.059328,              0.0734,            0.019893,           0.0071566,           0.0071566,           0.0071566
                  40,            0.059597,              0.1043,            0.014763,             0.63911,             0.46141,             0.46355,              0.1788,            0.060078,            0.073171,             0.01836,           0.0070243,           0.0070243,           0.0070243
                  41,            0.058371,             0.10158,            0.014019,             0.46809,             0.47915,             0.42036,             0.15267,            0.058398,            0.073119,            0.018975,           0.0068906,           0.0068906,           0.0068906
                  42,            0.057671,             0.09877,            0.015035,             0.53029,             0.50544,             0.46034,             0.18093,            0.059351,            0.073844,            0.017074,           0.0067555,           0.0067555,           0.0067555
                  43,            0.057325,             0.10305,            0.014143,              0.5138,             0.43921,             0.46701,              0.1696,            0.057414,            0.073349,            0.017284,           0.0066191,           0.0066191,           0.0066191
                  44,            0.057374,             0.10065,            0.014586,             0.57364,             0.47798,             0.46186,             0.18446,            0.057099,            0.072725,            0.016387,           0.0064816,           0.0064816,           0.0064816
                  45,            0.057634,             0.10379,            0.014482,             0.70709,             0.47223,             0.53039,             0.19774,            0.057296,            0.073785,            0.016672,           0.0063432,           0.0063432,           0.0063432
                  46,            0.056772,              0.1009,            0.013144,             0.60007,             0.43744,             0.46389,             0.18221,            0.057948,            0.075562,            0.018145,            0.006204,            0.006204,            0.006204
                  47,            0.056683,            0.098296,            0.012571,             0.60321,             0.51366,             0.50754,             0.18192,            0.056296,            0.075451,            0.016886,            0.006064,            0.006064,            0.006064
                  48,            0.056148,             0.10033,            0.012665,             0.74667,             0.42294,             0.50248,             0.19459,            0.056903,            0.072804,            0.016024,           0.0059235,           0.0059235,           0.0059235
                  49,            0.055888,            0.097105,            0.013185,             0.62598,             0.44989,             0.46628,              0.1709,              0.0585,            0.073219,            0.016613,           0.0057826,           0.0057826,           0.0057826
                  50,            0.055289,            0.094739,            0.013174,             0.65538,             0.46048,             0.53037,             0.20881,              0.0573,             0.07123,            0.016261,           0.0056413,           0.0056413,           0.0056413
                  51,            0.055165,             0.10126,            0.011938,             0.59309,               0.596,             0.55476,             0.22903,            0.057213,            0.073203,            0.015196,              0.0055,              0.0055,              0.0055
                  52,            0.056004,            0.098031,            0.012326,             0.68493,             0.49679,             0.54898,             0.22295,            0.055828,            0.072063,            0.015729,           0.0053587,           0.0053587,           0.0053587
                  53,            0.055427,            0.094896,            0.011283,             0.66926,             0.43186,             0.47933,             0.20533,            0.055619,            0.071028,            0.016317,           0.0052174,           0.0052174,           0.0052174
                  54,            0.054899,            0.099572,            0.011605,             0.65582,             0.49612,             0.52972,             0.21523,            0.055314,            0.072681,            0.014966,           0.0050765,           0.0050765,           0.0050765
                  55,            0.054134,            0.095276,            0.011245,             0.57153,             0.51306,             0.50333,             0.18232,            0.056862,            0.073531,            0.015171,            0.004936,            0.004936,            0.004936
                  56,            0.053566,            0.099519,            0.011115,             0.50753,             0.61281,             0.54707,             0.22032,            0.055171,            0.071025,            0.014227,            0.004796,            0.004796,            0.004796
                  57,            0.054303,             0.10072,             0.01138,              0.6204,             0.48856,             0.53969,             0.23383,            0.054506,             0.07031,            0.014279,           0.0046568,           0.0046568,           0.0046568
                  58,            0.053202,            0.093447,            0.010354,             0.57913,             0.60451,             0.58944,             0.25438,            0.054049,            0.072253,            0.014751,           0.0045184,           0.0045184,           0.0045184
                  59,            0.053489,            0.097466,            0.010681,              0.6736,             0.53721,              0.5741,             0.22643,            0.056176,            0.071154,            0.015394,           0.0043809,           0.0043809,           0.0043809
                  60,            0.052562,            0.095475,            0.010627,             0.68656,             0.57149,             0.57298,             0.25724,            0.053442,            0.070505,            0.014682,           0.0042445,           0.0042445,           0.0042445
                  61,             0.05194,            0.092364,            0.010395,             0.58135,             0.62854,             0.58998,             0.24722,            0.054016,            0.070589,             0.01392,           0.0041094,           0.0041094,           0.0041094
